130,Sekolah Tinggi Sandi Negara (STSN),,,
131,Sekolah Tinggi Seni Indonesia (STSI),,,
132,Sekolah Tinggi Transportasi Darat (STTD),,,
133,Sekolah Tinggi Kesejahteraan Sosial (STKS),,,
134,Sekolah Tinggi Pemerintahan Dalam Negeri (STPDN),,,
135,Sekolah Tinggi Penyuluhan Pertanian (STTP) Bogor,,,
136,STAIN Cirebon,,,
137,Politeknik Kesehatan Bandung,,,
138,Politeknik Manufaktur Bandung,,,
139,Politeknik Negeri Bali,,,
140,Universitas Diponegoro,,,
141,Universitas Negeri Semarang,,,
142,Universitas Jenderal Soedirman,,,
143,Universitas Negeri Surakarta Sebelas Maret,,,
144,Politeknik Negeri Semarang,,,
145,Politeknik Maritim Negeri Indonesia,,,
146,Institut Seni Indonesia Surakarta,,,
147,Universitas Tidar Magelang,,,
148,UIN Walisongo,,,
149,IAIN Surakarta,,,
150,STAIN Kudus,,,
151,STAIN Pekalongan,,,
152,IAIN Salatiga,,,
153,IAIN Purwokerto,,,
154,Akademi Kepolisian (AKPOL),,,
155,Akademi Militer (AKMIL) TNI AD,,,
156,Akademi Minyak dan Gas Bumi (AKAMIGAS),,,
157,Akademi Sanitasi dan Kesehatan Lingkungan (ASKK),,,
158,Sekolah Tinggi Seni Indonesia (STSI),,,
159,Sekolah Tinggi Penyuluhan Pertanian (STTP) Magelang,,,
160,Politeknik Ilmu Pelayaran Semarang,,,
161,Politeknik Kesehatan Semarang,,,
162,Politeknik Kesehatan Surakarta,,,
163,Universitas Gadjah Mada,UGM,https://drive.google.com/file/d/1aBP3Tx5UwzEW8ugQQyJd0eIpXvFBoau3/view?usp=sharing,UGM.png
164,Universitas Negeri Yogyakarta,,,
165,Institut Seni Indonesia Yogyakarta,,,
166,Universita Terbuka  UPBJJ Yogyakarta,,,
167,Akademi Teknologi Kulit Yogyakarta (ATK),,,
168,Universitas Pembangunan Nasional Veteran (UPN),,,
169,UIN Sunan Kalijaga,,,
170,Akademi Angkatan Udara (AAU),,,
171,Sekolah Tinggi Pertanahan Nasional (STPN),,,
172,Sekolah Tinggi Teknologi Nuklir (STTN),,,
173,Politeknik Kesehatan Yogyakarta,,,
174,Universitas Negeri Surabaya,,,
175,Universitas Brawijaya,,,
176,Universitas Negeri Malang,,,
177,Universitas Jember,,,
178,Universitas Trunojoyo,,,
179,Politeknik Elektronika Negeri Surabaya,,,
180,Politeknik Perkapalan Negeri Surabaya,,,
181,Politeknik Negeri Madura,,,
182,Politeknik Negeri Malang,,,
183,Politeknik Negeri Madiun,,,
184,Politeknik Negeri Jember,,,
185,Akademi Komunitas Negeri,,,
186,Akademi Komunitas Negeri,,,
187,Universitas Pembangunan Nasional Veteran (UPN),,,
188,Politeknik Negeri Banyuwangi,,,
189,Akademi Komunitas Negeri Lamongan,,,
190,Akademi Komunitas Negeri Sumenep,,,
191,Akademi Komunitas Negeri Bojonegoro,,,
192,Universitas Islam Negeri Maulana Malik Ibrahim,,,
193,STAIN Kediri,,,
194,STAIN Ponorogo,,,
195,UIN Sunan Ampel,,,
196,IAIN Tulungagung,,,
197,UIN Maulana Malik Ibrahim,,,
198,STAIN Pamekasan,,,
199,Akademi Angkatan Laut (AAL),,,
200,Teknik Keselamatan Penerbangan (ATKP) Surabaya,,,
201,Sekolah Tinggi Penyuluhan Pertanian (STTP) Malang,,,
202,IAIN Jember,,,
203,Politeknik Elektronika Negeri Surabaya,,,
204,Politeknik Kesehatan Malang,,,
205,Politeknik Kesehatan Surabaya,,,
206,Politeknik Pertanian Negeri Jember,,,
207,Akademi TKP â€“ Surabaya,,,
208,Universitas Mataram,,,
209,IAIN Mataram,,,
210,Sekolah Tinggi Agama Hindu Negeri (STAHN) Gde Puja,,,
211,Universitas Nusa Cendana,,,
212,Politeknik Negeri Kupang,,,
213,Politeknik Pertanian Negeri Kupang,,,
214,Universitas Udayana,,,
215,Universitas Pendidikan Ganesha,,,
216,Politeknik Negeri Bali,,,
217,Institut Seni Indonesia Denpasar,,,
218,Politeknik Negeri Tanah Lot,,,
219,Institut Hindu Dharma Negeri (IHDN) Denpasar,,,
220,Akademi Kebidanan Pemprov Bali singaraja,,,
221,Sekolah Tinggi Pariwisata Bali,,,
222,Sekolah Tinggi Agama Kristen Negeri (STAKN) Denpasar,,,
223,Politeknik Kesehatan Denpasar,,,
224,Universitas Tanjungpura,,,
225,Politeknik Negeri Pontianak,,,
226,Politeknik Kesehatan Kementerian Kesehatan,,,
227,Politeknik Terpikat Sambas,,,
228,Politeknik Tonggak Equator,,,
229,Politeknik Ketapang,,,
230,Politeknik Tunas Bangsa,,,
231,IAIN Pontianak sebelumnya STAIN Pontianak,,,
232,Universitas Palangka Raya,,,
233,IAIN Palangkaraya,,,
234,Sekolah Tinggi Agama Hindu Negeri Tampung Peyang,,,
235,Sekolah Tinggi Agama Kristen Negeri (STAKN) Palangkaraya,,,
236,Universitas Lambung Mangkurat,,,
237,Politeknik Negeri Banjarmasin,,,
238,IAIN ANTASARI,,,
239,Poltekkes Banjarmasin,,,
240,Ooliteknik Pertanian Negeri Samarinda,,,
241,Universitas Mulawarman,,,
242,Politeknik Negeri Samarinda,,,
243,Politeknik Pertanian Negeri Samarinda,,,
244,Universitas Borneo Tarakan,,,
245,Politeknik Balikpapan,,,
246,IAIN Samarinda,,,
247,Universitas Borneo Tarakan,,,
248,Universitas Sam Ratulangi,,,
249,Universitas Negeri Manado,,,
250,Politeknik Negeri Manado,,,
251,Politeknik Negeri Nusa Utara,,,
252,IAIN Manado,,,
253,Politeknik Kesehatan Manado,,,
254,Politeknik Negeri Manado,,,
255,Universitas Negeri Gorontalo,,,
256,IAIN Sultan Amai,,,
257,Universitas Tadulako,,,
258,Sekolah Tinggi Ilmu Ekonomi (YPP Mujahidin),,,
259,IAIN Dato Karamau,,,
260,STAIN Datokarama,,,
